OEM_ID,Full_Model_String,Storage,RAM_Raw
S926NZOEKOO,SM-S926N Galaxy S24+ 5G UW TD-LTE KR 512GB,512GB,12288 MiB RAM
S926NZYAKOO,SM-S926N Galaxy S24+ 5G UW TD-LTE KR 256GB,256GB,12288 MiB RAM
S926BLGMLTM,SM-S926B Galaxy S24+ 5G Global TD-LTE 512GB,512GB,12288 MiB RAM
S926BZOLLTM,SM-S926B Galaxy S24+ 5G Global TD-LTE 256GB,256GB,12288 MiB RAM
S926WLGEXAC,SM-S926W Galaxy S24+ 5G TD-LTE CA 512GB,512GB,12288 MiB RAM
S926WLBAXAC,SM-S926W Galaxy S24+ 5G TD-LTE CA 256GB,256GB,12288 MiB RAM
S9260ZKGTGY,SM-S9260 Galaxy S24+ 5G Dual SIM TD-LTE CN HK TW 512GB,512GB,12288 MiB RAM
S9260LBDTGY,SM-S9260 Galaxy S24+ 5G Dual SIM TD-LTE CN HK TW 256GB,256GB,12288 MiB RAM
S926UZAEUSC,SM-S926U Galaxy S24+ 5G UW TD-LTE US 512GB / SM-S926R4,512GB,12288 MiB RAM
S926UZKAUSC,SM-S926U Galaxy S24+ 5G UW TD-LTE US 256GB / SM-S926R4,256GB,12288 MiB RAM
S926UZYEXAU,SM-S926U Galaxy S24+ 5G UW TD-LTE US 512GB / SM-S926T,512GB,12288 MiB RAM
S926UZKAXAU,SM-S926U Galaxy S24+ 5G UW TD-LTE US 256GB / SM-S926T,256GB,12288 MiB RAM
S926UZAEVZW,SM-S926U Galaxy S24+ 5G UW TD-LTE US 512GB / SM-S926V,512GB,12288 MiB RAM
S926UZVAVZW,SM-S926U Galaxy S24+ 5G UW TD-LTE US 256GB / SM-S926V,256GB,12288 MiB RAM
S926UZYEATT,SM-S926U Galaxy S24+ 5G UW TD-LTE US 512GB / SM-S926A,512GB,12288 MiB RAM
S926UZKAATT,SM-S926U Galaxy S24+ 5G UW TD-LTE US 256GB / SM-S926A,256GB,12288 MiB RAM
S926UZAEXAA,SM-S926U1 Galaxy S24+ 5G UW TD-LTE US 512GB,512GB,12288 MiB RAM
S926ULGAXAA,SM-S926U1 Galaxy S24+ 5G UW TD-LTE US 256GB,256GB,12288 MiB RAM
S926BZOGEUB,SM-S926B/DS Galaxy S24+ 5G Global Dual SIM TD-LTE 512GB,512GB,12288 MiB RAM
S926BZVDEUB,SM-S926B/DS Galaxy S24+ 5G Global Dual SIM TD-LTE 256GB,256GB,12288 MiB RAM
